vendor,I1,I2,I3,D1,D2,D3,i_d,cost
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,Device_G,Device_G,3_3,2576200.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,Device_G,Device_H,3_3,2380146
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,Device_G,0,3_2,2135778
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,Device_H,Device_G,3_3,2380146
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,Device_H,Device_H,3_3,2184091.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,Device_H,0,3_2,1939723.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,0,Device_G,3_2,2135778
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,0,Device_H,3_2,1939723.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_G,0,0,3_1,1695355.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,Device_G,Device_G,3_3,2380146
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,Device_G,Device_H,3_3,2184091.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,Device_G,0,3_2,1939723.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,Device_H,Device_G,3_3,2184091.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,Device_H,Device_H,3_3,1988037
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,Device_H,0,3_2,1743669
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,0,Device_G,3_2,1939723.5
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,0,Device_H,3_2,1743669
V4,Instrument_F,Instrument_F,Instrument_F,Device_H,0,0,3_1,1499301
V4,Instrument_F,Instrument_F,Instrument_F,0,Device_G,Device_G,3_2,2135778
V4,Instrument_F,Instrument_F,Instrument_F,0,Device_G,Device_H,3_2,1939723.5
V4,Instrument_F,Instrument_F,Instrument_F,0,Device_G,0,3_1,1695355.5
V4,Instrument_F,Instrument_F,Instrument_F,0,Device_H,Device_G,3_2,1939723.5
V4,Instrument_F,Instrument_F,Instrument_F,0,Device_H,Device_H,3_2,1743669
V4,Instrument_F,Instrument_F,Instrument_F,0,Device_H,0,3_1,1499301
V4,Instrument_F,Instrument_F,Instrument_F,0,0,Device_G,3_1,1695355.5
V4,Instrument_F,Instrument_F,Instrument_F,0,0,Device_H,3_1,1499301
V4,Instrument_F,Instrument_F,Instrument_F,0,0,0,3_0,1254933
V4,Instrument_F,Instrument_F,0,Device_G,Device_G,Device_G,2_3,1717467
V4,Instrument_F,Instrument_F,0,Device_G,Device_G,Device_H,2_3,1961835
V4,Instrument_F,Instrument_F,0,Device_G,Device_G,0,2_2,1717467
V4,Instrument_F,Instrument_F,0,Device_G,Device_H,Device_G,2_3,1961835
V4,Instrument_F,Instrument_F,0,Device_G,Device_H,Device_H,2_3,1765780.5
V4,Instrument_F,Instrument_F,0,Device_G,Device_H,0,2_2,1521412.5
V4,Instrument_F,Instrument_F,0,Device_G,0,Device_G,2_2,1717467
V4,Instrument_F,Instrument_F,0,Device_G,0,Device_H,2_2,1521412.5
V4,Instrument_F,Instrument_F,0,Device_G,0,0,2_1,1277044.5
V4,Instrument_F,Instrument_F,0,Device_H,Device_G,Device_G,2_3,1961835
V4,Instrument_F,Instrument_F,0,Device_H,Device_G,Device_H,2_3,1765780.5
V4,Instrument_F,Instrument_F,0,Device_H,Device_G,0,2_2,1521412.5
V4,Instrument_F,Instrument_F,0,Device_H,Device_H,Device_G,2_3,1765780.5
V4,Instrument_F,Instrument_F,0,Device_H,Device_H,Device_H,2_3,1569726
V4,Instrument_F,Instrument_F,0,Device_H,Device_H,0,2_2,1325358
V4,Instrument_F,Instrument_F,0,Device_H,0,Device_G,2_2,1521412.5
V4,Instrument_F,Instrument_F,0,Device_H,0,Device_H,2_2,1325358
V4,Instrument_F,Instrument_F,0,Device_H,0,0,2_1,1080990
V4,Instrument_F,Instrument_F,0,0,Device_G,Device_G,2_2,1717467
V4,Instrument_F,Instrument_F,0,0,Device_G,Device_H,2_2,1521412.5
V4,Instrument_F,Instrument_F,0,0,Device_G,0,2_1,1277044.5
V4,Instrument_F,Instrument_F,0,0,Device_H,Device_G,2_2,1521412.5
V4,Instrument_F,Instrument_F,0,0,Device_H,Device_H,2_2,1325358
V4,Instrument_F,Instrument_F,0,0,Device_H,0,2_1,1080990
V4,Instrument_F,Instrument_F,0,0,0,Device_G,2_1,1277044.5
V4,Instrument_F,Instrument_F,0,0,0,Device_H,2_1,1080990
V4,Instrument_F,Instrument_F,0,0,0,0,2_0,836622
V4,Instrument_F,0,Instrument_F,Device_G,Device_G,Device_G,2_3,1717467
V4,Instrument_F,0,Instrument_F,Device_G,Device_G,Device_H,2_3,1961835
V4,Instrument_F,0,Instrument_F,Device_G,Device_G,0,2_2,1717467
V4,Instrument_F,0,Instrument_F,Device_G,Device_H,Device_G,2_3,1961835
V4,Instrument_F,0,Instrument_F,Device_G,Device_H,Device_H,2_3,1765780.5
V4,Instrument_F,0,Instrument_F,Device_G,Device_H,0,2_2,1521412.5
V4,Instrument_F,0,Instrument_F,Device_G,0,Device_G,2_2,1717467
V4,Instrument_F,0,Instrument_F,Device_G,0,Device_H,2_2,1521412.5
V4,Instrument_F,0,Instrument_F,Device_G,0,0,2_1,1277044.5
V4,Instrument_F,0,Instrument_F,Device_H,Device_G,Device_G,2_3,1961835
V4,Instrument_F,0,Instrument_F,Device_H,Device_G,Device_H,2_3,1765780.5
V4,Instrument_F,0,Instrument_F,Device_H,Device_G,0,2_2,1521412.5
V4,Instrument_F,0,Instrument_F,Device_H,Device_H,Device_G,2_3,1765780.5
V4,Instrument_F,0,Instrument_F,Device_H,Device_H,Device_H,2_3,1569726
V4,Instrument_F,0,Instrument_F,Device_H,Device_H,0,2_2,1325358
V4,Instrument_F,0,Instrument_F,Device_H,0,Device_G,2_2,1521412.5
V4,Instrument_F,0,Instrument_F,Device_H,0,Device_H,2_2,1325358
V4,Instrument_F,0,Instrument_F,Device_H,0,0,2_1,1080990
V4,Instrument_F,0,Instrument_F,0,Device_G,Device_G,2_2,1717467
V4,Instrument_F,0,Instrument_F,0,Device_G,Device_H,2_2,1521412.5
V4,Instrument_F,0,Instrument_F,0,Device_G,0,2_1,1277044.5
V4,Instrument_F,0,Instrument_F,0,Device_H,Device_G,2_2,1521412.5
V4,Instrument_F,0,Instrument_F,0,Device_H,Device_H,2_2,1325358
V4,Instrument_F,0,Instrument_F,0,Device_H,0,2_1,1080990
V4,Instrument_F,0,Instrument_F,0,0,Device_G,2_1,1277044.5
V4,Instrument_F,0,Instrument_F,0,0,Device_H,2_1,1080990
V4,Instrument_F,0,Instrument_F,0,0,0,2_0,836622
V4,Instrument_F,0,0,Device_G,Device_G,Device_G,1_3,1299156
V4,Instrument_F,0,0,Device_G,Device_G,Device_H,1_3,1543524
V4,Instrument_F,0,0,Device_G,Device_G,0,1_2,1299156
V4,Instrument_F,0,0,Device_G,Device_H,Device_G,1_3,1543524
V4,Instrument_F,0,0,Device_G,Device_H,Device_H,1_3,1347469.5
V4,Instrument_F,0,0,Device_G,Device_H,0,1_2,1103101.5
V4,Instrument_F,0,0,Device_G,0,Device_G,1_2,1299156
V4,Instrument_F,0,0,Device_G,0,Device_H,1_2,1103101.5
V4,Instrument_F,0,0,Device_G,0,0,1_1,858733.5
V4,Instrument_F,0,0,Device_H,Device_G,Device_G,1_3,1543524
V4,Instrument_F,0,0,Device_H,Device_G,Device_H,1_3,1347469.5
V4,Instrument_F,0,0,Device_H,Device_G,0,1_2,1103101.5
V4,Instrument_F,0,0,Device_H,Device_H,Device_G,1_3,1347469.5
V4,Instrument_F,0,0,Device_H,Device_H,Device_H,1_3,1151415
V4,Instrument_F,0,0,Device_H,Device_H,0,1_2,907047
V4,Instrument_F,0,0,Device_H,0,Device_G,1_2,1103101.5
V4,Instrument_F,0,0,Device_H,0,Device_H,1_2,907047
V4,Instrument_F,0,0,Device_H,0,0,1_1,662679
V4,Instrument_F,0,0,0,Device_G,Device_G,1_2,1299156
V4,Instrument_F,0,0,0,Device_G,Device_H,1_2,1103101.5
V4,Instrument_F,0,0,0,Device_G,0,1_1,858733.5
V4,Instrument_F,0,0,0,Device_H,Device_G,1_2,1103101.5
V4,Instrument_F,0,0,0,Device_H,Device_H,1_2,907047
V4,Instrument_F,0,0,0,Device_H,0,1_1,662679
V4,Instrument_F,0,0,0,0,Device_G,1_1,858733.5
V4,Instrument_F,0,0,0,0,Device_H,1_1,662679
V4,Instrument_F,0,0,0,0,0,1_0,418311
V4,0,Instrument_F,Instrument_F,Device_G,Device_G,Device_G,2_3,1717467
V4,0,Instrument_F,Instrument_F,Device_G,Device_G,Device_H,2_3,1961835
V4,0,Instrument_F,Instrument_F,Device_G,Device_G,0,2_2,1717467
V4,0,Instrument_F,Instrument_F,Device_G,Device_H,Device_G,2_3,1961835
V4,0,Instrument_F,Instrument_F,Device_G,Device_H,Device_H,2_3,1765780.5
V4,0,Instrument_F,Instrument_F,Device_G,Device_H,0,2_2,1521412.5
V4,0,Instrument_F,Instrument_F,Device_G,0,Device_G,2_2,1717467
V4,0,Instrument_F,Instrument_F,Device_G,0,Device_H,2_2,1521412.5
V4,0,Instrument_F,Instrument_F,Device_G,0,0,2_1,1277044.5
V4,0,Instrument_F,Instrument_F,Device_H,Device_G,Device_G,2_3,1961835
V4,0,Instrument_F,Instrument_F,Device_H,Device_G,Device_H,2_3,1765780.5
V4,0,Instrument_F,Instrument_F,Device_H,Device_G,0,2_2,1521412.5
V4,0,Instrument_F,Instrument_F,Device_H,Device_H,Device_G,2_3,1765780.5
V4,0,Instrument_F,Instrument_F,Device_H,Device_H,Device_H,2_3,1569726
V4,0,Instrument_F,Instrument_F,Device_H,Device_H,0,2_2,1325358
V4,0,Instrument_F,Instrument_F,Device_H,0,Device_G,2_2,1521412.5
V4,0,Instrument_F,Instrument_F,Device_H,0,Device_H,2_2,1325358
V4,0,Instrument_F,Instrument_F,Device_H,0,0,2_1,1080990
V4,0,Instrument_F,Instrument_F,0,Device_G,Device_G,2_2,1717467
V4,0,Instrument_F,Instrument_F,0,Device_G,Device_H,2_2,1521412.5
V4,0,Instrument_F,Instrument_F,0,Device_G,0,2_1,1277044.5
V4,0,Instrument_F,Instrument_F,0,Device_H,Device_G,2_2,1521412.5
V4,0,Instrument_F,Instrument_F,0,Device_H,Device_H,2_2,1325358
V4,0,Instrument_F,Instrument_F,0,Device_H,0,2_1,1080990
V4,0,Instrument_F,Instrument_F,0,0,Device_G,2_1,1277044.5
V4,0,Instrument_F,Instrument_F,0,0,Device_H,2_1,1080990
V4,0,Instrument_F,Instrument_F,0,0,0,2_0,836622
V4,0,Instrument_F,0,Device_G,Device_G,Device_G,1_3,1299156
V4,0,Instrument_F,0,Device_G,Device_G,Device_H,1_3,1543524
V4,0,Instrument_F,0,Device_G,Device_G,0,1_2,1299156
V4,0,Instrument_F,0,Device_G,Device_H,Device_G,1_3,1543524
V4,0,Instrument_F,0,Device_G,Device_H,Device_H,1_3,1347469.5
V4,0,Instrument_F,0,Device_G,Device_H,0,1_2,1103101.5
V4,0,Instrument_F,0,Device_G,0,Device_G,1_2,1299156
V4,0,Instrument_F,0,Device_G,0,Device_H,1_2,1103101.5
V4,0,Instrument_F,0,Device_G,0,0,1_1,858733.5
V4,0,Instrument_F,0,Device_H,Device_G,Device_G,1_3,1543524
V4,0,Instrument_F,0,Device_H,Device_G,Device_H,1_3,1347469.5
V4,0,Instrument_F,0,Device_H,Device_G,0,1_2,1103101.5
V4,0,Instrument_F,0,Device_H,Device_H,Device_G,1_3,1347469.5
V4,0,Instrument_F,0,Device_H,Device_H,Device_H,1_3,1151415
V4,0,Instrument_F,0,Device_H,Device_H,0,1_2,907047
V4,0,Instrument_F,0,Device_H,0,Device_G,1_2,1103101.5
V4,0,Instrument_F,0,Device_H,0,Device_H,1_2,907047
V4,0,Instrument_F,0,Device_H,0,0,1_1,662679
V4,0,Instrument_F,0,0,Device_G,Device_G,1_2,1299156
V4,0,Instrument_F,0,0,Device_G,Device_H,1_2,1103101.5
V4,0,Instrument_F,0,0,Device_G,0,1_1,858733.5
V4,0,Instrument_F,0,0,Device_H,Device_G,1_2,1103101.5
V4,0,Instrument_F,0,0,Device_H,Device_H,1_2,907047
V4,0,Instrument_F,0,0,Device_H,0,1_1,662679
V4,0,Instrument_F,0,0,0,Device_G,1_1,858733.5
V4,0,Instrument_F,0,0,0,Device_H,1_1,662679
V4,0,Instrument_F,0,0,0,0,1_0,418311
V4,0,0,Instrument_F,Device_G,Device_G,Device_G,1_3,1299156
V4,0,0,Instrument_F,Device_G,Device_G,Device_H,1_3,1543524
V4,0,0,Instrument_F,Device_G,Device_G,0,1_2,1299156
V4,0,0,Instrument_F,Device_G,Device_H,Device_G,1_3,1543524
V4,0,0,Instrument_F,Device_G,Device_H,Device_H,1_3,1347469.5
V4,0,0,Instrument_F,Device_G,Device_H,0,1_2,1103101.5
V4,0,0,Instrument_F,Device_G,0,Device_G,1_2,1299156
V4,0,0,Instrument_F,Device_G,0,Device_H,1_2,1103101.5
V4,0,0,Instrument_F,Device_G,0,0,1_1,858733.5
V4,0,0,Instrument_F,Device_H,Device_G,Device_G,1_3,1543524
V4,0,0,Instrument_F,Device_H,Device_G,Device_H,1_3,1347469.5
V4,0,0,Instrument_F,Device_H,Device_G,0,1_2,1103101.5
V4,0,0,Instrument_F,Device_H,Device_H,Device_G,1_3,1347469.5
V4,0,0,Instrument_F,Device_H,Device_H,Device_H,1_3,1151415
V4,0,0,Instrument_F,Device_H,Device_H,0,1_2,907047
V4,0,0,Instrument_F,Device_H,0,Device_G,1_2,1103101.5
V4,0,0,Instrument_F,Device_H,0,Device_H,1_2,907047
V4,0,0,Instrument_F,Device_H,0,0,1_1,662679
V4,0,0,Instrument_F,0,Device_G,Device_G,1_2,1299156
V4,0,0,Instrument_F,0,Device_G,Device_H,1_2,1103101.5
V4,0,0,Instrument_F,0,Device_G,0,1_1,858733.5
V4,0,0,Instrument_F,0,Device_H,Device_G,1_2,1103101.5
V4,0,0,Instrument_F,0,Device_H,Device_H,1_2,907047
V4,0,0,Instrument_F,0,Device_H,0,1_1,662679
V4,0,0,Instrument_F,0,0,Device_G,1_1,858733.5
V4,0,0,Instrument_F,0,0,Device_H,1_1,662679
V4,0,0,Instrument_F,0,0,0,1_0,418311
V4,0,0,0,Device_G,Device_G,Device_G,0_3,880845
V4,0,0,0,Device_G,Device_G,Device_H,0_3,1125213
V4,0,0,0,Device_G,Device_G,0,0_2,880845
V4,0,0,0,Device_G,Device_H,Device_G,0_3,1125213
V4,0,0,0,Device_G,Device_H,Device_H,0_3,929158.5
V4,0,0,0,Device_G,Device_H,0,0_2,684790.5
V4,0,0,0,Device_G,0,Device_G,0_2,880845
V4,0,0,0,Device_G,0,Device_H,0_2,684790.5
V4,0,0,0,Device_G,0,0,0_1,440422.5
V4,0,0,0,Device_H,Device_G,Device_G,0_3,1125213
V4,0,0,0,Device_H,Device_G,Device_H,0_3,929158.5
V4,0,0,0,Device_H,Device_G,0,0_2,684790.5
V4,0,0,0,Device_H,Device_H,Device_G,0_3,929158.5
V4,0,0,0,Device_H,Device_H,Device_H,0_3,733104
V4,0,0,0,Device_H,Device_H,0,0_2,488736
V4,0,0,0,Device_H,0,Device_G,0_2,684790.5
V4,0,0,0,Device_H,0,Device_H,0_2,488736
V4,0,0,0,Device_H,0,0,0_1,244368
V4,0,0,0,0,Device_G,Device_G,0_2,880845
V4,0,0,0,0,Device_G,Device_H,0_2,684790.5
V4,0,0,0,0,Device_G,0,0_1,440422.5
V4,0,0,0,0,Device_H,Device_G,0_2,684790.5
V4,0,0,0,0,Device_H,Device_H,0_2,488736
V4,0,0,0,0,Device_H,0,0_1,244368
V4,0,0,0,0,0,Device_G,0_1,440422.5
V4,0,0,0,0,0,Device_H,0_1,244368
V4,0,0,0,0,0,0,0_0,0
